Title,Year,"Venue
(See Abbr -> Col-Q)",Paper URL,Feature Attribution (FIM),Probing (PRB),Tuple/Graph (TUP),Space Map (SPM),Rule/Grammar (RUL),Free Text (FRT),Concept/Sense (CPT),Example (EXP),Trigger (TRG),Word Cloud (WCL),Images (IMG),Confidence Score (CFD)
""" Why should I trust you?"" Explaining the predictions of any classifier",2016,KDD,https://arxiv.org/pdf/1602.04938.pdf,"Visualize: Figure 2.
Description: ""Explaining individual predictions of competing classifiers trying to determine if a document
is about “Christianity” or “Atheism”. The bar chart
represents the importance given to the most relevant words, also highlighted in the text. Color indicates which class the word contributes to (green for
“Christianity”, magenta for “Atheism”).""",,,,,,,,,,,
A causal framework for explaining the predictions of black-box sequence-to-sequence models,2017,EMNLP,https://arxiv.org/pdf/1707.01943.pdf,"Visualize: Figure 3 & 4 & 7.
Description: ""Explanations for the predictions of three
Black-Box translators: Azure (top), NMT (middle) and human (bottom). Note that the rows and
columns of the heatmaps are permuted to show explanation chunks (clusters).""",,"Visualize: Figure 8 & 6 & 3 & 4.
Description: ""Explanations for biased translations of similar gender-neutral English sentences into French
generated with Azure’s MT service. The first two require gender declination in the target (French) language, while the third one, in plural, does not. The dependencies in the first two shed light on the cause of the biased selection of gender in the output sentence.""",,,,,,,,,
A Diagnostic Study of Explainability Techniques for Text Classification,2020,EMNLP,https://arxiv.org/pdf/2009.13295.pdf,"Visualize: Figure1.
Description: ""Example of the saliency scores for the words
(columns) of an instance from the Twitter Sentiment
Extraction dataset. They are produced by the explainability techniques (rows) given a Transformer model. The first row is the human annotation of the salient words.""",,,,,,,,,,,
"A Meaning-based English Math Word Problem Solver with Understanding, Reasoning and Explanation",2016,COLING,https://www.aclweb.org/anthology/C16-2032.pdf,,,,,"Visualize: Figure2 & 3.
Description: ""Logic form and logic inference. The generated explanation
 of a Sum operation tree and explanation text.""","Visualize: Figure3.
Description: ""The generated explanation
 of a Sum operation tree and explanation text"".",,,,,,
A primer in bertology: What we know about how bert works,2020,TACL,https://arxiv.org/pdf/2002.12327.pdf,"Visualiize: Figure 1 & 3.
Description:  ""Attention patterns in BERT.""
",,"Visualize: Figure 1.
Description: ""Parameter-free"" probe for syntactic knowledge: words sharing syntactic subtrees have larger impact on each other in the MLM prediction.",,,,,,,,,
A Shared Attention Mechanism for Interpretation of Neural Automatic Post-Editing Systems,2018,ACL,https://www.aclweb.org/anthology/W18-2702.pdf,"Visualize: Figure 1 & 2 & 3 & 4.
Description: "" we propose a neural APE system that encodes
the source (src) and machine translated (mt) sentences with two separate encoders, but leverages a shared attention mechanism to better understand how the two inputs contribute to the generation of the post-edited (pe) sentences.""",,,,,,,,,,,
A structural probe for finding syntax in word representations,2019,NAACL,https://www.aclweb.org/anthology/N19-1419.pdf,,,"Visualize:Figure 2.
Description: "" testing whether a neural network embeds each sentence’s dependency parse tree in its contextual word representations – a structural hypothesis.
""Under a reasonable definition, to embed a graph is to learn a vector representation of each node such that geometry in the vector space—distances and norms—
approximates geometry in the graph""",,,,,,,,,
A Survey of the State of Explainable AI for Natural Language Processing,2020,AACL-IJCNLP,https://arxiv.org/pdf/2010.00711.pdf,"Visualize: Figure1 
Description: Saliancy heatmap / Saliancy highlighting.",,,,"Visualize: Figure1.
Description: ""(c) Raw declarative rules; (d) raw declarative program.""","Visualize: Figure1 & 2.
Description: ""(e) Raw examples"".",,,,,,
Allennlp interpret: A framework for explaining predictions of nlp models,2019,EMNLP,https://www.aclweb.org/anthology/D19-3002.pdf,"Visualize: Figure 1 & 2 & 3.
Description: ""An interpretation generated using AllenNLP
Interpret for NER. The model predicts three tags for an
input (top). We interpret each tag separately, e.g., input
reduction (bottom) removes as many
words as possible without changing a tag’s prediction.
Input reduction shows that the words “named”, “at”,
and “in downtown” are sufficient to predict the People, Organization, and Location tags, respectively..""",,,,"Visualize: Figure1.
Description: ""An interpretation generated using AllenNLP
Interpret for NER. The model predicts three tags for an
input (top). We interpret each tag separately"".",,,,,,,
An Information Bottleneck Approach for Controlling Conciseness in Rationale Extraction,2020,EMNLP,https://arxiv.org/pdf/2005.00652.pdf,"Visualize: Figure1 & Table3.
Description: ""Our Information Bottleneck-based approach
extracts concise rationales that are minimally informative about the original input, and maximally informative about the label through fine-grained control of sparsity in the bottleneck""",,,,,,,,,,,
An Interpretable Knowledge Transfer Model for Knowledge Base Completion,2017,ACL,https://www.aclweb.org/anthology/P17-1088.pdf,,,,,,,"Visualize: Figure 3 & 4.
Description: ""we propose a knowledge embedding
model which can discover shared hidden concepts,
and design a learning algorithm to induce the interpretable sparse representation""",,,,,
An Interpretable Reasoning Network for Multi-Relation Question Answering,2018,COLING,https://www.aclweb.org/anthology/C18-1171.pdf,,,,,,,"Visualize: Figure 3.
Description: ""The predicted relations at each hop. Each row represents a probability distribution over relations. Darker color indicates larger probability. The terminal relation is highlighted in red.""",,,,,
Analysing the potential of seq-to-seq models for incremental interpretation in task-oriented dialogue,2018,BlackboxNLP,https://www.aclweb.org/anthology/W18-5419.pdf,"Visualize: Figure2 & 3.
Description: "" Alignment of in- and output words via the attention for different models tested on bAbI+ data""
""A labelled example sentence to evaluate whether models have distinct representations for
reparanda, repairs, and editing terms""","Description: ""First, we probe the representations of the encoder part of the model while it
processes incoming sentences, for which we use
again diagnostic classifiers. """,,,,,,,,,,
Analysis methods in neural language processing: A survey,2019,TACL,https://arxiv.org/pdf/1812.08951.pdf,"Visualize: Figure1 & 2.
Description: "" A heatmap visualizing neuron activations. In this case, the activations capture position
in the sentence.""
""A visualization of attention weights,
showing soft alignment between source and target
sentences in an NMT model.""","Description: "". Section 5 deals with the generation
and use of adversarial examples to probe weaknesses of neural networks.""
""It is referred to by various names, including “auxiliary
prediction tasks” (Adi et al., 2017b), “diagnostic
classifiers” (Veldhoen et al., 2016), and “probing
tasks” (Conneau et al., 2018).""",,,,,,"Description: "" They contrasted such datasets with
test corpora, “whose main advantage is that they
reflect naturally occurring data.” This idea underlines much of the work on challenge sets and is
echoed in more recent work""",,,,
